SECCION,ANIO,ESTRUCTURA_TRADICIONAL,ESTRUCTURA_IZQUIERDA,VOTOS_MC,VOTOS_NULOS,VOTOS_TOTALES,LISTA_NOMINAL_HIST,PARTICIPACION_PCT
5227,2018,3325.0,369.0,19.0,17.0,988.0,1259.0,78.47
5227,2021,3251.0,289.0,29.0,18.0,853.0,1247.0,68.4
5227,2024,3333.0,293.0,81.0,15.0,962.0,1236.0,77.83
5228,2012,772.0,385.0,18.0,21.0,771.0,0.0,0.0
5228,2015,468.0,80.0,22.0,21.0,606.0,0.0,0.0
5228,2018,2718.0,337.0,15.0,19.0,810.0,1018.0,79.57
5228,2021,2670.0,266.0,11.0,14.0,696.0,1021.0,68.17
5228,2024,2814.0,268.0,57.0,13.0,791.0,1046.0,75.62
5229,2012,708.0,376.0,21.0,17.0,713.0,0.0,0.0
5229,2015,465.0,92.0,20.0,25.0,610.0,0.0,0.0
5229,2018,2698.0,287.0,24.0,12.0,777.0,1006.0,77.24
5229,2021,2680.0,253.0,16.0,10.0,687.0,1020.0,67.35
5229,2024,2791.0,278.0,71.0,10.0,794.0,1043.0,76.13
5230,2012,664.0,333.0,9.0,15.0,647.0,0.0,0.0
5230,2015,379.0,56.0,8.0,22.0,485.0,0.0,0.0
5230,2018,2019.0,217.0,3.0,10.0,606.0,771.0,78.6
5230,2021,2047.0,184.0,10.0,10.0,551.0,763.0,72.21
5230,2024,1937.0,137.0,28.0,8.0,540.0,709.0,76.16
5231,2012,1102.0,529.0,13.0,43.0,1129.0,0.0,0.0
5231,2015,649.0,116.0,18.0,29.0,822.0,0.0,0.0
5231,2018,3721.0,415.0,23.0,25.0,1078.0,1419.0,75.97
5231,2021,3570.0,336.0,26.0,17.0,926.0,1374.0,67.39
5231,2024,3565.0,285.0,71.0,16.0,1025.0,1321.0,77.59
5232,2012,1274.0,612.0,20.0,34.0,1307.0,0.0,0.0
5232,2015,730.0,99.0,21.0,38.0,938.0,0.0,0.0
5232,2018,4460.0,448.0,27.0,29.0,1263.0,1677.0,75.31
5232,2021,4160.0,359.0,14.0,16.0,1012.0,1629.0,62.12
5232,2024,4063.0,330.0,86.0,19.0,1147.0,1525.0,75.21
5233,2012,775.0,403.0,8.0,27.0,766.0,0.0,0.0
5233,2015,467.0,83.0,9.0,27.0,580.0,0.0,0.0
5233,2018,2441.0,249.0,10.0,16.0,744.0,899.0,82.76
5233,2021,2365.0,175.0,3.0,3.0,657.0,859.0,76.48
5233,2024,2292.0,50.0,12.0,6.0,666.0,810.0,82.22
5234,2012,787.0,425.0,9.0,27.0,784.0,0.0,0.0
5234,2015,512.0,67.0,20.0,17.0,631.0,0.0,0.0
5234,2018,2543.0,311.0,7.0,13.0,763.0,943.0,80.91
5234,2021,2470.0,278.0,14.0,14.0,681.0,923.0,73.78
5234,2024,2460.0,188.0,52.0,14.0,743.0,888.0,83.67
5235,2012,754.0,395.0,14.0,35.0,765.0,0.0,0.0
